,IsRecentlyVerified,DateLastVerified,ID,UUID,DataProviderID,OperatorID,UsageTypeID,Connections,NumberOfPoints,StatusTypeID,DateLastStatusUpdate,DataQualityLevel,DateCreated,SubmissionStatusTypeID,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.Town,AddressInfo.StateOrProvince,AddressInfo.Postcode,AddressInfo.CountryID,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.DistanceUnit,GeneralComments,AddressInfo.RelatedURL,UsageCost,AddressInfo.AddressLine2,AddressInfo.AccessComments,AddressInfo.ContactTelephone1,AddressInfo.ContactEmail,AddressInfo.ContactTelephone2,OperatorsReference,DataProvidersReference,MetadataValues,DateLastConfirmed,ID,ConnectionTypeID,StatusTypeID,LevelID,PowerKW,CurrentTypeID,Quantity,Reference,Amps,Voltage,Comments
0,True,2023-03-21T12:10:00Z,258262,03D9A1C1-B6F8-412E-AD98-BCE427A2E323,1,103.0,4.0,"[{'ID': 431516, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50.0, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 431517, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50.0, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 431518, 'ConnectionTypeID': 1036, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 43.0, 'CurrentTypeID': 20, 'Quantity': 1}]",1.0,50,2023-03-21T12:10:00Z,1.0,2023-03-21T09:35:00Z,200,258646,Groene Kruisweg,Groene Kruisweg,Spijkenisse,Zuid-Holland,3208 KA,159,51.858566250616946,4.2936322845002906,0,,,,,,,,,,,,,431516.0,33.0,50.0,3.0,50.0,30.0,1.0,,,,
1,True,2023-03-15T11:19:00Z,256957,C274DD57-63EE-4953-8723-61A928DC8A64,1,1.0,6.0,[],1.0,50,2023-03-15T11:19:00Z,1.0,2023-03-15T10:20:00Z,200,257341,De Wildkansel,De Wildkansel,,Flevoland,8251 ME,159,52.521086139767704,5.731164197082762,0,,,,,,,,,,,,,,,,,,,,,,,
2,True,2023-03-04T15:56:00Z,238390,54DE6F07-8F83-4D6C-AC5C-F46C3CC5AF40,1,47.0,4.0,"[{'ID': 392175, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50.0, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 392176, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50.0, 'CurrentTypeID': 30, 'Quantity': 1}]",1.0,50,2023-03-04T15:56:00Z,1.0,2023-03-04T15:56:00Z,200,238774,Mc Donalds Ijsselstein,Lorentzlaan,IJsselstein,Utrecht,3401 MX,159,52.014896340300794,5.06245760912293,0,,,,,,,,,,,,,392175.0,33.0,50.0,3.0,50.0,30.0,1.0,,,,
3,True,2023-03-04T15:52:00Z,238389,2A59654E-C064-4234-AD9F-9E814387FE0B,1,47.0,4.0,"[{'ID': 392173, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 175.0, 'CurrentTypeID': 30, 'Quantity': 6}, {'ID': 392174, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50.0, 'CurrentTypeID': 30, 'Quantity': 1}]",6.0,50,2023-03-04T15:52:00Z,1.0,2023-03-04T15:52:00Z,200,238773,Haje Allego Ultra E Nieuwegein Oost,Waterliniedok,Nieuwegein,Utrecht,3433 NV,159,52.01118158983823,5.1220471338107245,0,,,,,,,,,,,,,392173.0,33.0,50.0,3.0,175.0,30.0,6.0,,,,
4,True,2023-03-04T15:49:00Z,238388,2C11156F-072A-416A-9489-B2D96889BD9F,1,47.0,4.0,"[{'ID': 392171, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50.0, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 392172, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50.0, 'CurrentTypeID': 30, 'Quantity': 1}]",1.0,50,2023-03-04T15:49:00Z,1.0,2023-03-04T15:49:00Z,200,238772,Mc Donalds Nieuwegein ,Ravenswade,Nieuwegein,Utrecht,3439 LD,159,52.04920110246246,5.117388801827872,0,,,,,,,,,,,,,392171.0,33.0,50.0,3.0,50.0,30.0,1.0,,,,
5,True,2023-03-04T14:27:00Z,238387,7CC524E9-1377-47C2-97A5-B616B76DD825,1,47.0,4.0,"[{'ID': 392170, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 175.0, 'CurrentTypeID': 30, 'Quantity': 2}]",2.0,50,2023-03-04T14:27:00Z,1.0,2023-03-04T14:27:00Z,200,238771,Divers Woerden,Europabaan,Woerden,Utrecht,3446 CE,159,52.075587540309186,4.901184234016853,0,,,,,,,,,,,,,392170.0,33.0,50.0,3.0,175.0,30.0,2.0,,,,
6,True,2023-03-04T14:16:00Z,238386,A543C1A2-9612-4492-B227-394A6A0143D1,1,47.0,4.0,"[{'ID': 392167, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 175.0, 'CurrentTypeID': 30, 'Quantity': 2}, {'ID': 392168, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 70.0, 'CurrentTypeID': 30, 'Quantity': 2}]",2.0,50,2023-03-04T14:16:00Z,1.0,2023-03-04T14:16:00Z,200,238770,Shell A12 Hellevliet,Rijksweg A12,Woerden,Utrecht,3481 CV,159,52.08093975266934,4.983936303056225,0,,,,,,,,,,,,,392167.0,33.0,50.0,3.0,175.0,30.0,2.0,,,,
7,True,2023-03-04T14:11:00Z,238385,929C3638-907E-4E94-AC57-21EA35065635,1,47.0,4.0,"[{'ID': 392165, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 175.0, 'CurrentTypeID': 30, 'Quantity': 2}, {'ID': 392166, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 70.0, 'CurrentTypeID': 30, 'Quantity': 2}]",2.0,50,2023-03-04T14:11:00Z,1.0,2023-03-04T14:07:00Z,200,238769,Shell Recharge Veldhuizen,Veldhuizerweg,Harmelen,Utrecht,3481 ZZ,159,52.0819105021566,5.003278715701072,0,,,,,,,,,,,,,392165.0,33.0,50.0,3.0,175.0,30.0,2.0,,,,
8,True,2023-02-23T20:59:00Z,235545,CF27F53F-B0FD-40E3-B0C6-BFC3350BB87B,1,3387.0,4.0,"[{'ID': 388570, 'ConnectionTypeID': 25, 'Reference': 'SGZH1-03906 SGZH', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 16, 'Voltage': 400, 'PowerKW': 11.0, 'CurrentTypeID': 20, 'Quantity': 2}]",2.0,50,2023-02-23T20:59:00Z,1.0,2023-02-23T20:42:00Z,200,235929,Rivierenlaan 164,Rivierenlaan 164,Pijnacker,Zuid-Holland,2641 RK,159,52.008437986141985,4.438623144085568,0,,,,,,,,,,,,,388570.0,25.0,50.0,2.0,11.0,20.0,2.0,SGZH1-03906 SGZH,16.0,400.0,
9,True,2023-02-21T13:18:00Z,235341,760B6873-7F7A-4378-BB0B-2EC793085F0D,1,103.0,1.0,"[{'ID': 388152, 'ConnectionTypeID': 25, 'Reference': 'NLALLEGO011946', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 16, 'Voltage': 400, 'PowerKW': 11.0, 'CurrentTypeID': 20, 'Quantity': 2}]",2.0,50,2023-02-21T13:18:00Z,1.0,2023-02-18T09:43:00Z,200,235725,Rosendaalsestraat 318,Rosendaalsestraat 318,Arnhem,,6824 CW,159,51.989283738948245,5.926502582741591,0,"Allego NLALLEGO011946
NL-ALL-NLALLEGO011946",https://www.allego.eu/,,,,,,,,,,,388152.0,25.0,50.0,2.0,11.0,20.0,2.0,NLALLEGO011946,16.0,400.0,
10,True,2023-02-11T08:31:00Z,213619,1DE21223-B9D5-446D-8B1C-4C29BF2329DA,1,45.0,1.0,"[{'ID': 355834, 'ConnectionTypeID': 33, 'Reference': 'NL*AVI*ENLAVIM0000027*1', 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 138.0, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 367061, 'ConnectionTypeID': 33, 'Reference': 'NL*AVI*ENLAVIM0000027*2', 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 120.0, 'CurrentTypeID': 30}]",2.0,50,2023-02-11T08:31:00Z,1.0,2023-02-08T14:38:00Z,200,213999,Avia Marees Den Oever,Havenweg 2,Den Oever,Noord Holland,1779 XT,159,52.92906820812402,5.028645395294689,0,,,€0.65 per kWh,,,,,,,,,,355834.0,33.0,50.0,3.0,138.0,30.0,1.0,NL*AVI*ENLAVIM0000027*1,,,
11,True,2023-01-17T22:53:00Z,212424,DC6664F5-EAE1-4838-81B6-D6E2BB3B7202,1,3504.0,1.0,"[{'ID': 353652, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 250, 'PowerKW': 120.0, 'CurrentTypeID': 30, 'Quantity': 4}]",4.0,50,2023-01-17T22:53:00Z,1.0,2023-01-17T14:01:00Z,200,212804,Meester Cramerweg,Meester Cramerweg,Hoogeveen,Drenthe,7913 WB,159,52.710549409171165,6.517221954540901,0,,,€0.71/kWh,,,,,,,,,,353652.0,33.0,50.0,3.0,120.0,30.0,4.0,,250.0,,
12,True,2023-01-17T22:53:00Z,212423,C70CDFC4-7983-4EBB-B5B2-BDED2CF8AE57,1,3504.0,1.0,"[{'ID': 353651, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 250, 'PowerKW': 60.0, 'CurrentTypeID': 30, 'Quantity': 2}]",2.0,50,2023-01-17T22:53:00Z,1.0,2023-01-17T14:00:00Z,200,212803,Zeemansstraat,Zeemansstraat 21,Zaandam,Noord-Holland,1506 CS,159,52.440784547014516,4.821080344094412,0,,,€0.71/kWh,,,,,,,,,,353651.0,33.0,50.0,3.0,60.0,30.0,2.0,,250.0,,
13,True,2023-01-17T22:53:00Z,212422,D5563442-3D8D-4026-8414-0ABA137DA984,1,3504.0,1.0,"[{'ID': 353650, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 250, 'Voltage': 1000, 'PowerKW': 120.0, 'CurrentTypeID': 30, 'Quantity': 8}]",8.0,50,2023-01-17T22:53:00Z,1.0,2023-01-17T13:57:00Z,200,212802,Oude Groenewoudseweg,Oude Groenewoudseweg 365,,Gelderland,6524 WZ,159,51.83215405018595,5.859914320165842,0,,,€0.71/kWh incl. VAT,Nijmegen-Oost,,,,,,,,,353650.0,33.0,50.0,3.0,120.0,30.0,8.0,,250.0,1000.0,
14,True,2023-01-05T09:06:00Z,211127,824F3540-68D8-4929-84A9-B4E5DBEF4B97,1,69.0,4.0,"[{'ID': 351964, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22.0, 'CurrentTypeID': 20, 'Quantity': 2}]",2.0,50,2023-01-05T09:06:00Z,1.0,2023-01-05T09:04:00Z,200,211507,Parking Hoogvliet,De Halte 269,Ede,Gelderland,6711 NZ,159,52.04184477866,5.666623285234095,0,,,,,,,,,,,,,351964.0,25.0,50.0,2.0,22.0,20.0,2.0,,,,
15,True,2023-03-17T12:41:00Z,211037,5262217F-0A62-45EE-98E5-3FF601A11B46,1,3571.0,1.0,"[{'ID': 351776, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 16, 'Voltage': 400, 'PowerKW': 11.0, 'CurrentTypeID': 20, 'Quantity': 1}]",2.0,50,2023-03-17T12:41:00Z,1.0,2022-12-30T11:13:00Z,200,211417,Kamp 26 02,Kamp 26 02,Lelystad,,,159,52.504648974557625,5.481985227164159,0,,,,,Next to garbage recycling station.,,,,,,,,351776.0,25.0,50.0,2.0,11.0,20.0,1.0,,16.0,400.0,
16,True,2022-12-26T20:29:00Z,210962,402BC01C-1768-45D7-96EA-143BFC684F2E,1,47.0,1.0,"[{'ID': 351647, 'ConnectionTypeID': 2, 'Reference': 'NLEFLEV1490043', 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 100.0, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 351648, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 180.0, 'CurrentTypeID': 30, 'Quantity': 3}]",2.0,50,2022-12-26T20:29:00Z,1.0,2022-12-26T14:44:00Z,200,211342,Jan Tinbergenweg,Jan Tinbergenweg 3,Zwaag,North Holland,1689 ZV,159,52.68088528852729,5.084495657004027,0,,,,,,,,,,,,,351647.0,2.0,50.0,3.0,100.0,30.0,1.0,NLEFLEV1490043,,,
17,True,2022-12-13T14:18:00Z,210384,AAB6EA96-7F03-42DA-AF1E-BB8644854DDE,1,63.0,1.0,"[{'ID': 350395, 'ConnectionTypeID': 25, 'Reference': 'NL*GFX*EPP004046*2', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 30, 'Voltage': 230, 'PowerKW': 6.0, 'CurrentTypeID': 10, 'Quantity': 1}, {'ID': 350396, 'ConnectionTypeID': 25, 'Reference': 'NL*GFX*EPP004046*1', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 30, 'Voltage': 230, 'PowerKW': 6.0, 'CurrentTypeID': 10, 'Quantity': 1}]",1.0,50,2022-12-13T14:18:00Z,1.0,2022-12-10T12:36:00Z,200,210764,Theemsstraat,Theemsstraat,Haarlem,North Holland,2014 RZ,159,52.37507619143503,4.613204035808508,0,,,,,,,,,,,,,350395.0,25.0,50.0,2.0,6.0,10.0,1.0,NL*GFX*EPP004046*2,30.0,230.0,
18,True,2022-12-15T15:45:00Z,210349,1BA14176-821A-4B5C-B22A-D4ECF02448DF,1,1.0,4.0,"[{'ID': 350318, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 17.0, 'CurrentTypeID': 20, 'Quantity': 2}, {'ID': 350319, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 13.0, 'CurrentTypeID': 20, 'Quantity': 1}]",2.0,50,2022-12-15T15:45:00Z,1.0,2022-12-09T16:18:00Z,200,210729,Parkeerterrein Regius College,Julianalaan,Schagen,Noord-Holland,1741 CL,159,52.783795024517815,4.797450942261776,0,,,,,,,,,,,,,350318.0,25.0,50.0,2.0,17.0,20.0,2.0,,,,
19,True,2023-01-17T22:54:00Z,209765,36CA222A-F89B-420D-B8F1-380D90701DCC,1,3504.0,1.0,"[{'ID': 349049, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 136, 'Voltage': 440, 'PowerKW': 30.0, 'CurrentTypeID': 30, 'Quantity': 5}]",5.0,50,2023-01-17T22:54:00Z,1.0,2022-11-04T12:43:00Z,200,210145,Bavoort LEAP24 Semi-Fast charger,Treekerweg 28,Leusden,Utrecht,3832 GW,159,52.12276082899771,5.400444811984585,0,,http://leap24.eu,"0,55 €/kWh",Leusden-Zuid,,,,,,,,,349049.0,33.0,50.0,3.0,30.0,30.0,5.0,,136.0,440.0,
20,True,2022-10-16T09:57:00Z,208214,8C1FD358-ED02-4E4F-BD09-41ABFFF96520,1,1.0,4.0,"[{'ID': 346514, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 11.0, 'Quantity': 1}]",4.0,50,2022-10-16T09:57:00Z,1.0,2022-10-15T09:32:00Z,200,208594,Avelingen-West,Avelingen-West,Gorinchem,South Holland,4202MS,159,51.8360073270031,4.939790531752465,0,,,,,,,,,,,,,346514.0,25.0,50.0,2.0,11.0,,1.0,,,,
21,True,2023-02-13T21:02:00Z,208212,FB80590A-D651-4DAC-86B7-20FA97E75F1B,1,1.0,4.0,"[{'ID': 346511, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 11.0, 'Quantity': 1}]",4.0,50,2023-02-13T21:02:00Z,1.0,2022-10-15T09:26:00Z,200,208592,50 Van Heemstraweg,50 Van Heemstraweg,West Maas en Waal,Gelderland,6658KH,159,51.87832100591848,5.522909074397148,0,CPID LIB_2912,,,,,,,,,,,,346511.0,25.0,50.0,2.0,11.0,,1.0,,,,
