,aantal_cilinders,emissiecode_omschrijving,jaar,cilinderinhoud
0,1.0,0.0,1963,194.5
1,1.0,0.0,1964,200.0
2,1.0,0.0,1968,300.0
3,1.0,0.0,1983,298.0
4,1.0,0.0,2005,198.0
5,1.0,0.0,2006,715.0
6,1.0,0.0,2007,298.0
7,1.0,0.0,2008,242.75
8,1.0,0.0,2009,279.0
9,1.0,0.0,2010,324.0
10,1.0,0.0,2011,246.0
11,1.0,0.0,2012,298.0
12,1.0,0.0,2013,1609.0
13,1.0,0.0,2015,289.0
14,1.0,0.0,2016,245.0
15,1.0,0.0,2017,309.0
16,1.0,0.0,2018,6750.0
17,1.0,0.0,2019,280.3333333333333
18,1.0,0.0,2020,264.3333333333333
19,1.0,0.0,2021,554.25
20,1.0,0.0,2022,591.25
21,1.0,4.0,2000,338.0
22,1.0,4.0,2009,299.0
23,1.0,4.0,2005,1308.0
24,1.0,4.0,2014,1360.0
25,1.0,4.0,2020,1308.0
26,1.0,4.0,2022,1308.0
27,1.0,5.0,2013,1968.0
28,1.0,5.0,2014,2143.0
29,1.0,5.0,2015,503.0
30,1.0,6.0,2018,2287.0
31,1.0,6.0,2019,300.0
32,1.0,6.0,2022,1968.0
33,2.0,0.0,1951,690.0
34,2.0,0.0,1952,944.5
35,2.0,0.0,1955,845.0
36,2.0,0.0,1957,337.0
37,2.0,0.0,1958,393.0
38,2.0,0.0,1959,510.5
39,2.0,0.0,1960,505.625
40,2.0,0.0,1961,521.6666666666666
41,2.0,0.0,1962,638.2
42,2.0,0.0,1963,624.625
43,2.0,0.0,1964,587.8
44,2.0,0.0,1965,645.2857142857143
45,2.0,0.0,1966,651.3333333333334
46,2.0,0.0,1967,632.8333333333334
47,2.0,0.0,1968,533.7058823529412
48,2.0,0.0,1969,575.0588235294117
49,2.0,0.0,1970,610.2702702702703
50,2.0,0.0,1971,559.9583333333334
51,2.0,0.0,1972,596.5405405405405
52,2.0,0.0,1973,684.6176470588235
53,2.0,0.0,1974,649.5813953488372
54,2.0,0.0,1975,610.56
55,2.0,0.0,1976,642.3103448275862
56,2.0,0.0,1977,649.2272727272727
57,2.0,0.0,1978,615.1379310344828
58,2.0,0.0,1979,601.8275862068965
59,2.0,0.0,1980,676.3939393939394
60,2.0,0.0,1981,681.1343283582089
61,2.0,0.0,1982,605.0
62,2.0,0.0,1983,602.006711409396
63,2.0,0.0,1984,603.9545454545455
64,2.0,0.0,1985,603.4176706827309
65,2.0,0.0,1986,603.2736974262398
66,2.0,0.0,1987,603.0640138408304
67,2.0,0.0,1988,615.0641025641025
68,2.0,0.0,1989,607.1951219512196
69,2.0,0.0,1990,603.8190476190476
70,2.0,0.0,1991,605.4893617021277
71,2.0,0.0,1992,594.8205128205128
72,2.0,0.0,1993,598.9607843137255
73,2.0,0.0,1994,601.0714285714286
74,2.0,0.0,1995,590.3373493975904
75,2.0,0.0,1996,598.7910447761194
76,2.0,0.0,1997,599.6466165413534
77,2.0,0.0,1998,600.2700729927008
78,2.0,0.0,1999,600.3538461538461
